instance,run_id,seed,cp_opt_make,cp_opt_time,cp_opt_memory,cp_opt_status,hy_lim_make,hy_lim_tot_time,hy_lim_tot_memory,diff_hy_lim_cp_opt,hy_col_make,hy_col_tot_time,hy_col_tot_memory,diff_hy_col_cp_opt,ga_make,ga_time,ga_memory,hy_make,hy_tot_time,hy_tot_memory,diff_hy_cp_opt
../instances/ClassicBenchmark/jobshop_la10,0,3,958,0.09494161605834961,74986,4,966,0.2414846420288086,116482,0.008350730688935281,inf,0,0,inf,1108,0.17934083938598633,108153,0,0,0,-1.0
../instances/ClassicBenchmark/jobshop_la11,0,3,1222,0.2767832279205322,106574,4,1263,0.3275463581085205,154546,0.03355155482815057,1222,0.34697937965393066,263637,0.0,1378,0.4072232246398926,116320,1238,0.3734285831451416,153061,0.01309328968903437
../instances/ClassicBenchmark/jobshop_la12,0,3,1039,0.30629491806030273,106098,4,1091,0.3598639965057373,139850,0.05004812319538017,1042,0.5370895862579346,256525,0.0028873917228103944,1281,0.4172792434692383,116000,1045,0.5894420146942139,151314,0.005774783445620789
../instances/ClassicBenchmark/jobshop_la13,0,3,1150,0.25873851776123047,106345,4,1151,0.304379940032959,157500,0.0008695652173913044,1150,0.29051685333251953,158118,0.0,1391,0.33089542388916016,116068,1150,0.3137021064758301,106294,0.0
../instances/ClassicBenchmark/jobshop_la14,0,3,1292,0.1075294017791748,106462,4,1292,0.5762166976928711,154298,0.0,inf,0,0,inf,1379,0.3605771064758301,-474647,0,0,0,-1.0
../instances/ClassicBenchmark/jobshop_la15,0,3,1207,0.3219578266143799,106238,4,1313,0.5653092861175537,137590,0.08782104391052195,1548,0.8850271701812744,-273453,0.28251864125932064,1548,0.32832813262939453,130808,1228,0.6305043697357178,166658,0.01739850869925435
../instances/ClassicBenchmark/jobshop_la17,0,3,784,0.5083262920379639,106773,4,831,0.7159900665283203,136581,0.05994897959183673,787,0.4595611095428467,412113,0.003826530612244898,1052,0.6174273490905762,116840,784,0.2775726318359375,106973,0.0
../instances/ClassicBenchmark/jobshop_la16,0,3,945,1.139362096786499,107977,4,1050,1.1632723808288574,137981,0.1111111111111111,980,1.0190048217773438,527860,0.037037037037037035,1221,1.3400027751922607,114408,973,0.9279947280883789,148513,0.02962962962962963
../instances/ClassicBenchmark/jobshop_ft10,0,3,930,10.163314580917358,117689,4,1108,10.177443504333496,159206,0.1913978494623656,930,7.406805992126465,1055070,0.0,1139,10.299678325653076,116264,940,7.291759252548218,137296,0.010752688172043012
../instances/ClassicBenchmark/jobshop_la18,0,3,848,0.6200237274169922,107081,4,949,0.676593542098999,134481,0.11910377358490566,924,0.5321693420410156,336033,0.08962264150943396,1186,0.6685633659362793,118076,899,0.4807453155517578,153153,0.060141509433962265
../instances/ClassicBenchmark/jobshop_la20,0,3,902,1.30501389503479,107917,4,960,1.5129024982452393,-300086,0.06430155210643015,918,1.1021449565887451,446788,0.017738359201773836,1172,1.4982318878173828,114292,918,1.0948145389556885,134701,0.017738359201773836
../instances/ClassicBenchmark/jobshop_la19,0,3,842,5.671819448471069,107249,4,1004,5.983347654342651,135281,0.19239904988123516,842,4.140907049179077,979200,0.0,1026,5.913442134857178,114748,846,4.011134386062622,134513,0.004750593824228029
